"id_sucursal","nombre","direccion","ciudad","telefono"
"33","Plaza Vea Alcázar","Av. Alcázar 620","Rímac, Lima","01-500-0033"
"34","Plaza Vea Av. Francisco Bolognesi","Av. Francisco Bolognesi","Chimbote, Áncash","01-500-0034"
"35","Plaza Vea Jr. Villavicencio","Jr. Villavicencio 476","Chimbote, Áncash","01-500-0035"
"36","Plaza Vea Calle Oscar R Benavides","Calle Oscar R Benavides s/n","Chincha Alta, Ica","01-500-0036"
"37","Plaza Vea Guardia Civil","Av. Guardia Civil 927","Chorrillos, Lima","01-500-0037"
"38","Plaza Vea Salaverry","Av. Salaverry 1234","Lima","01-500-0038"
"39","Plaza Vea Centro Cívico","Av. Garcilaso de la Vega 1337","Lima","01-500-0039"
"40","Plaza Vea Puruchuco","Av. Prolongación Javier Prado Este 1235","Lima","01-500-0040"
"41","Plaza Vea Pro","Av. Alfredo Mendiola 3698","Lima","01-500-0041"
"42","Plaza Vea Primavera","Av. Angamos Este 2680","Lima","01-500-0042"
"43","Plaza Vea Villa María","Av. Pachacútec 1000","Lima","01-500-0043"
"44","Plaza Vea Santa Clara","Carretera Central Km 10.5","Lima","01-500-0044"
"45","Plaza Vea Guardia Civil","Av. Guardia Civil 123","Lima","01-500-0045"
"46","Plaza Vea Lurín","Antigua Panamericana Sur Km 35","Lima","01-500-0046"
"47","Plaza Vea Chiclayo","Av. Balta 1234","Chiclayo","01-500-0047"
"48","Plaza Vea Trujillo","Av. Mansiche 1534","Trujillo","01-500-0048"
"49","Plaza Vea Huancayo","Av. Ferrocarril 123","Huancayo","01-500-0049"
"50","Plaza Vea Arequipa","Av. Ejército 1009","Arequipa","01-500-0050"
"51","Plaza Vea Piura","Av. Sánchez Cerro 234","Piura","01-500-0051"
"52","Plaza Vea Juliaca","Av. Tacna 567","Juliaca","01-500-0052"
"53","Plaza Vea Huánuco","Jr. 28 de Julio 890","Huánuco","01-500-0053"
"54","Plaza Vea Cajamarca","Av. Hoyos Rubio 456","Cajamarca","01-500-0054"
"55","Plaza Vea Cusco","Av. de la Cultura 1234","Cusco","01-500-0055"
"56","Plaza Vea Pucallpa","Av. Centenario 789","Pucallpa","01-500-0056"
"57","Plaza Vea Sullana","Av. José de Lama 345","Sullana","01-500-0057"
"58","Plaza Vea Chimbote","Av. Pacífico 678","Chimbote","01-500-0058"
"59","Plaza Vea Ica","Av. San Martín 123","Ica","01-500-0059"
"60","Plaza Vea Tacna","Av. Bolognesi 456","Tacna","01-500-0060"
"61","Plaza Vea Tarapoto","Jr. San Martín 789","Tarapoto","01-500-0061"
"62","Plaza Vea Huaraz","Jr. Luzuriaga 234","Huaraz","01-500-0062"
"63","Plaza Vea Ayacucho","Av. Independencia 567","Ayacucho","01-500-0063"
"64","Plaza Vea Puno","Jr. Lima 890","Puno","01-500-0064"
"65","Plaza Vea Moquegua","Av. Bolívar 123","Moquegua","01-500-0065"
"66","Plaza Vea Tumbes","Av. Tumbes 456","Tumbes","01-500-0066"
"67","Plaza Vea Puerto Maldonado","Av. Fitzcarrald 789","Puerto Maldonado","01-500-0067"
"68","Plaza Vea Cerro de Pasco","Jr. Grau 234","Cerro de Pasco","01-500-0068"
"69","Plaza Vea Huacho","Av. 28 de Julio 567","Huacho","01-500-0069"
"70","Plaza Vea Cañete","Av. Mariscal Benavides 890","Cañete","01-500-0070"
"71","Plaza Vea Talara","Av. B 123","Talara","01-500-0071"
"72","Plaza Vea Chincha","Av. Luis Massaro 456","Chincha","01-500-0072"
"73","Plaza Vea Cajabamba","Jr. Amazonas 789","Cajabamba","01-500-0073"
"74","Plaza Vea Jaén","Av. Pakamuros 234","Jaén","01-500-0074"
"75","Plaza Vea Bagua","Av. Chachapoyas 567","Bagua","01-500-0075"
"76","Plaza Vea Yurimaguas","Jr. Jáuregui 890","Yurimaguas","01-500-0076"
"77","Plaza Vea Moyobamba","Jr. Pedro Canga 123","Moyobamba","01-500-0077"
